source,chunk
docs/example1.txt,"Google Cloud includes services like Vertex AI and the Gemini family of models.
Retrieval-Augmented Generation (RAG) combines document retrieval with large language models to answer questions using private data.
Using services such as Cloud Run and Cloud SQL can help optimise cost for AI applications."
Tunnel Vision.pdf,Tunnel Vision Module: CS1813 Assessment block code: Task 5 Assignment Title: Tunnel Vision Robot Task number: 5 Name: Ammad Raza ID: 2431974 Tutor: Alessandro Pandini Group: A12   b) Requirement Speciﬁcations 1. Core Functionalities  The program should: • Start execution when the ‘Y’ button is pressed. • Set the SwiftBots’s underlights to red and move forward at a slow speed. • Capture images at r
Tunnel Vision.pdf,"ove forward at a slow speed. • Capture images at regular intervals while moving. • Process images to determine light intensity. • Detect tunnel entry and exit using charges in light intensity. • Compute the distance travelled using calibration data. 
• Stop if an obstacle is detected within 40 cm, take a photo of the obstacle, notify the suer, and terminate execution. • Allow manual termination by"
Tunnel Vision.pdf,"terminate execution. • Allow manual termination by pressing the ‘X’ button. • At termination, ask the user if they want to display the execution.log. • Save the log to a test ﬁle and display its ﬁle path to the user.  2. Additional Functionalities  • Auto-Calibration Mode: Automates-distance calibration instead of requiring manual input. • Live Status Updates: Displays real-time tunnel detection a"
Tunnel Vision.pdf,"tus Updates: Displays real-time tunnel detection and light intensity data. • Data logging for performance Tracking: Storers multiple execution logs for future analysis. • Enhanced Error Handling: Provides informative feedback for unexpected input or sensor failures.    c) Algorithm Design    
1. Main Process Flowchart 
 

  2.Light Intensity Detection Flowchart 
      

3.Distance Calculation Flow"
Tunnel Vision.pdf,"ion Flowchart 
      

3.Distance Calculation Flowchart 
          

4.Obstacle Detection Flowchart 
      	 d) User Interface Design (Command-Line UI)  1. Startup Screen  

================================= Tunnel Vision - SwiftBot Program Press 'Y' to Start Press 'X' to Exit =================================  2. Running Status  Status: Moving Forward... Light Intensity: 45 (Entering Tunnel) Tunn"
Tunnel Vision.pdf,"ward... Light Intensity: 45 (Entering Tunnel) Tunnel 1 Detected - Length: 45 cm Light Intensity: 75 (Exiting Tunnel)  3. Obstacle Detection Message  WARNING: Obstacle detected at 35 cm! Photo saved at: /logs/obstacle_01.jpg Program Terminated.  4. Execution Log Summary  Execution Log: - Total Tunnels Passed: 3 - Tunnel Lengths: [45cm, 57cm, 67cm] - Total Distance Traveled: 169cm - Time Taken: 42 s"
Tunnel Vision.pdf,"Total Distance Traveled: 169cm - Time Taken: 42 seconds - Obstacle Detected: No Log saved at: /logs/swiftbot_log.txt   e) Planning and monitoring Progress  Week Task Status 
1 Research and gather requirements Completed  2 Write initial requirements & UI design Completed 3 Develop light intensity detection In progress 4 Implement image processing for tunnel detection Pending 5 Test and calibrate d"
Tunnel Vision.pdf,or tunnel detection Pending 5 Test and calibrate distance measurement  Pending 6 Implement logging & error handling Pending 7 Final testing & debugging Pending
Tunnel Vision.pdf,Tunnel Vision Module: CS1813 Assessment block code: Task 5 Assignment Title: Tunnel Vision Robot Task number: 5 Name: Ammad Raza ID: 2431974 Tutor: Alessandro Pandini Group: A12   b) Requirement Speciﬁcations 1. Core Functionalities  The program should: • Start execution when the ‘Y’ button is pressed. • Set the SwiftBots’s underlights to red and move forward at a slow speed. • Capture images at r
Tunnel Vision.pdf,"ove forward at a slow speed. • Capture images at regular intervals while moving. • Process images to determine light intensity. • Detect tunnel entry and exit using charges in light intensity. • Compute the distance travelled using calibration data. 
• Stop if an obstacle is detected within 40 cm, take a photo of the obstacle, notify the suer, and terminate execution. • Allow manual termination by"
